63581743,0,60,67349,No,M,PhD,Professional
132761049,0,43,91449,No,M,High School,Blue Collar
921317019,0,48,52881,No,M,Bachelors,Manager
727598473,0,35,16039,Yes,F,High School,Clerical
450221861,0,51,61553,Yes,M,<High School,Blue Collar
743146596,0,50,114986,Yes,F,PhD,Doctor
871024631,0,34,125301,No,F,Bachelors,Blue Collar
792300541,0,54,18755,Yes,F,<High School,Blue Collar
7945239,1,40,50815,No,M,High School,Manager
3577610,0,44,43486,No,F,High School,Blue Collar
892208080,1,37,107961,Yes,M,Bachelors,Blue Collar
77382913,0,34,62978,No,F,Bachelors,Clerical
856886560,0,50,106952,No,M,Bachelors,Professional
308455362,0,53,77100,No,F,Masters,Lawyer
989828809,0,43,52642,Yes,F,Masters,Professional
376482434,0,55,59162,Yes,M,Bachelors,Manager
665591504,0,53,130795,No,M,PhD,Unemployed
713692930,0,35,21204,No,M,High School,Clerical
588888550,0,45,0,Yes,F,<High School,Home Maker
140015922,0,39,51884,No,F,Bachelors,Clerical
162166370,0,59,87460,No,M,High School,Manager
884513944,0,42,59945,Yes,M,Masters,Lawyer
627708979,0,34,34019,Yes,F,Masters,Lawyer
116375554,0,31,18903,Yes,F,<High School,Clerical
235358484,0,28,44077,Yes,F,High School,Blue Collar
528040687,0,43,37214,Yes,M,<High School,Blue Collar
652572577,0,48,96274,Yes,F,Masters,Lawyer
410873772,0,47,46281,No,F,<High School,Blue Collar
254362485,2,44,0,Yes,F,High School,Home Maker
69165559,0,46,61553,Yes,M,Bachelors,Professional
201327208,0,60,37940,Yes,F,High School,Blue Collar
573751437,0,33,79606,Yes,F,Bachelors,Professional
483050926,0,32,31275,Yes,F,High School,Clerical
146989842,1,44,45488,Yes,M,Bachelors,Manager
742435591,0,35,72193,No,F,Bachelors,Clerical
915517588,0,40,61553,Yes,F,Masters,Home Maker
756785495,0,54,33212,Yes,M,<High School,Blue Collar
66662029,0,49,49244,Yes,M,Bachelors,Clerical
294816298,2,36,130540,No,F,Bachelors,Blue Collar
686791659,0,52,51278,Yes,F,Bachelors,Professional
269341556,0,41,92842,No,M,Masters,Unemployed
396972296,0,39,35081,Yes,M,Bachelors,Blue Collar
364483168,0,56,0,Yes,F,PhD,Home Maker
866093378,0,49,115044,No,F,PhD,Doctor
515421877,0,38,37754,Yes,F,High School,Clerical
